servidor,anio,AR,BB,BO,BQ,BR,BZ,CL,CO,CR,CU,CW,DM,DO,EC,GF,GP,GT,GY,HN,HT,JM,KY,LC,MQ,MX,NI,PA,PE,PR,PY,SR,SV,TT,UY,VC,VE,VI
D,2012,172.578339285714,0.0,0.0,70.6063484848485,168.514005681818,75.1646142857143,146.607482758621,99.239890625,73.3713,0.0,80.3066282051282,0.0,85.2723620689655,0.0,0.0,0.0,93.0416666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.777928571429,0.0,0.0,0.0,185.711772727273,0.0,0.0,0.0
D,2013,185.548056085919,0.0,0.0,74.5086463414634,170.605459307359,85.5229102564103,152.13329002193,104.9763,86.5540817307692,0.0,87.7653402366864,0.0,80.7263095238095,121.049055555556,0.0,0.0,163.168833333333,0.0,0.0,0.0,89.310875,61.80734375,0.0,0.0,91.1433310810811,0.0,0.0,111.572333333333,0.0,177.557138888889,110.9622,0.0,0.0,185.763594420601,0.0,99.4476875,0.0
D,2014,117.433473678799,0.0,0.0,114.690075,162.503029483654,112.393357142857,155.98408688447,112.685817251462,80.4871090225564,158.644227272727,92.0375340909092,0.0,90.5157655677656,144.973939189189,122.61186,82.1786976744186,95.6028376623377,0.0,82.2759361702128,0.0,66.8231475409836,56.2375777777778,0.0,152.927928571429,87.3800354609929,123.185819444444,0.0,128.065818518519,53.1316551724138,266.699566666667,223.991416666667,54.1617333333333,92.4099942528736,41.0517008928571,0.0,99.1919634146342,8.16325
D,2015,124.139944470117,57.8513333333333,99.0221875,0.0,164.184993429698,73.071,153.945916666667,94.7342690217391,49.0370168918919,122.630981481481,73.8455813953488,0.0,76.6130973193473,139.237175373134,159.07627173913,82.1791306666667,73.482282208589,117.102375,87.9834128787879,0.0,69.0060847457627,59.6851136363636,79.3320625,88.4201351351351,68.8854799331104,189.6929,151.1610625,116.931287601626,72.2707379844961,219.241079365079,98.1392254901961,83.6316698113208,103.987156424581,51.2348514915693,0.0,86.0753910533911,34.5781309523809
D,2016,125.477703597398,53.9509444444444,112.220212328767,0.0,149.637657497094,69.5616911764706,156.454777167277,82.8223678929766,39.8245863874346,137.189511363636,67.9613849206349,0.0,68.4860176886792,114.679194756554,118.704555555556,84.1187300884956,65.6341233766234,81.8469772727273,75.1067267759563,85.4812857142857,54.3354322916667,64.8770972222222,84.6670903614458,82.49758,59.1309328767123,51.4225555555556,0.0,104.113211678832,59.6946705426357,179.022860902256,94.9631732673267,73.4044695945946,92.4795216049383,75.2233247023809,45.4957,91.6438967065868,82.8237708333333
D,2017,162.662735092667,54.0031151079137,117.085964684015,0.0,149.648121889554,52.2584957627119,58.6254864442126,81.4921677852349,57.9736467268623,72.0709285714286,70.4806132075471,0.0,62.8075863509749,96.3574147398843,95.911988372093,79.3155394736842,69.137895,0.0,74.6085555555555,0.0,23.7005714285714,0.0,74.7243787878788,81.375,57.2690813704497,47.8927368421053,76.8672435064935,93.9085864779876,63.9505508982036,116.844946502058,92.559119047619,53.653147826087,53.3563146067416,154.488535242291,69.527975,110.20611829653,89.4104705882353
D,2018,85.6233973735409,56.0967880794702,142.512682799702,0.0,152.87668052318,67.1041428571428,36.2590885593221,98.4692910447761,37.9365540935673,54.6456704545454,68.2452924528302,71.9645,64.4925363300493,83.9880640668524,91.0273571428571,85.57284375,75.8953779342723,0.0,67.0556266233767,4.39173529411765,35.6085675675676,70.5533125,74.4798095238095,52.8406785714286,68.0300847222223,86.001875,70.7646449275362,129.724692439862,61.6612055214724,84.8492817869417,108.459715517241,46.9606527777778,56.4054803149606,44.1031394389439,69.9336447368421,101.346614814815,79.0812692307693
D,2019,80.54173947789,43.5508758169935,176.716315452756,0.0,159.434639209278,99.6838748211731,41.4252285828663,96.1468944805196,35.3077895522388,84.1610357142857,66.0549318181818,59.5724166666667,60.23950859375,100.096971311475,83.6782916666667,89.2136090909091,63.5994300518135,0.0,81.3801384615385,2.28076086956522,0.0,56.90525,64.6024583333333,59.4224782608696,75.1289321743388,87.475875,58.4411336633663,169.54889893617,43.7377394957983,90.1498597560976,91.6963333333333,34.8906298701299,60.75365625,59.4571860398861,67.00825,76.2478850364963,49.1179666666667
D,2020,63.041332154088,41.4595698924731,188.849302631579,0.0,140.88764699706,119.422889830508,25.1197524357839,77.6043,25.3084556962026,59.6488541666667,63.3547386363637,53.6458387096774,48.4452677165355,84.764207119741,108.122735294118,73.1433450704226,65.5778873626374,98.8245,41.4389482758621,4.396,0.0,55.5787714285714,76.4037019230769,60.3584411764706,64.1360656312625,43.981875,70.5225923913044,163.921723913044,44.5340721649484,85.9224782608694,117.593333333333,32.6544222222222,68.8734085365854,98.8361889081455,0.0,88.2547923076923,101.224822916667
D,2021,26.5218542600897,0.0,221.32565,0.0,121.19641107078,0.0,29.2061968698517,96.3921057692307,19.4594133858268,69.8313369565218,0.0,0.0,39.9362371134021,124.678493055556,0.0,0.0,75.5080367647059,0.0,27.3894583333333,0.0,0.0,0.0,0.0,0.0,66.7366213282247,0.0,89.3279666666667,143.533397058824,48.3431346153846,5.54512234042553,0.0,0.0,90.1918943661971,43.3824317269077,0.0,59.3794900990099,30.9109270833333
