ASN,Holder,Country,UN Regions,UN Sub-Regions,RIR Regions,Filtering,Anti-spoofing,Coordination,Global Validation IRR,Global Validation RPKI
10417,Fundacao de Desenvolvimento da Pesquisa,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
10420,Banco de Mexico,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10429,TELEFONICA BRASIL S.A,BR,Americas,Latin America and the Caribbean,LACNIC,0.89,,1,0.27,0.0
10436,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10476,Cable Onda,PA,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
10479,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.58,0.0
10481,Telecom Argentina S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,1.0,1.0
10531,Terra Networks Brasil S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
10560,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.86,0.0
10569,Red CENIAInternet,CU,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10586,OSI de Guatemala,GT,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
10617,SION S.A,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.6,0.9
10620,Telmex Colombia S.A.,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
10670,COMPANHIA DE TECNOLOGIA DA INFORMACAO ESTADO MG,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10671,Comision Nacional de Actividades Espaciales,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
10688,ISM AUTOMACAO S.A.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
10697,Interlink S.R.L.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
10704,ML Telecom,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
10706,YUVOX S.A DE C.V,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10715,Universidade Federal de Santa Catarina,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
10733,DC MATRIX INTERNET SA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
10778,MCL Internet,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.88,0.12
10834,Telefonica de Argentina,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
10847,Podernet,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10881,FUNPAR - Fundacao da UFPR para o DCTC,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
10897,Camara dos Deputados,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
10906,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
10938,AGENCIA ESTADUAL DE TECNOLOGIA DA INFORMACAO - ATI,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
10954,SERVICO FEDERAL DE PROCESSAMENTO DE DADOS - SERPRO,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
10964,Banco Credicoop Cooperativo Limitado,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.7
10986,PULSAR CONSULTING S.R.L.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11014,CPS,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.99
11058,CABASE Camara Arg de Base de Datos y Serv en Linea,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11081,United Telecommunication Services UTS,CW,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.75
11097,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
11136,Instituto Tecnologico y de Estudios Superiores de Monterrey,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11172,Alestra,MX,Americas,Latin America and the Caribbean,LACNIC,0.86,,1,1.0,0.96
11193,COMNET S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11237,UNIVERSIDAD EAFIT,CO,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.2,0.0
11242,Universidade Federal de Santa Catarina,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11271,SENCINET LATAM BRASIL LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,0.0
11284,Nucleo de Inf. e Coord. do Ponto BR - NIC.,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,0,1.0,1.0
11311,Sinectis S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
11315,Telefonica Moviles Argentina S.A. Movistar Argentina,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.3,0.3
11338,SKY SERVICOS DE BANDA LARGA LTDA,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
11340,Red Universitaria Nacional,CL,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.99,0.88
11392,Nosis Laboratorio de Investigacion y Desarrollo S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11419,TELEFONICA BRASIL S.A,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.07,0.0
11432,Telium Telecomunicacoes Ltda,BR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11498,D.I.B.I. S.A.,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.0,0.0
11514,Transdatos,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.85
11519,Banco Mercantil del Norte S.A.,MX,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,0.86,0.0
11556,Cable & Wireless Panama,PA,Americas,Latin America and the Caribbean,LACNIC,1.0,1.0,1,0.99,0.86
11562,Net Uno,VE,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,1.0
11571,LA NACION,AR,Americas,Latin America and the Caribbean,LACNIC,1.0,,1,1.0,0.0
